Tipo,Título,Autor,ISBN,Categoria,Data,Aluno,Multa
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-23T16:57:14.421154","Lucas",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-23T17:00:06.036209","eduardo",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-23T17:03:21.282839","romulo",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-23T17:16:40.773265","eduardo",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-23T19:19:52.363003","Eduardo wagner",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-23T20:45:24.915132","bruno resende",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T12:08:39.842063","eduardo zielinski",""
"Devolvido","narnia","css","9874563219377","terror","2025-10-24T12:08:43.050679","Eduardo gregorio",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T14:11:34.417015","Eduardo Wagner",""
"Devolvido","narnia","css","9874563219377","terror","2025-10-24T15:09:20.125704","Eduardo Wagner",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T15:09:18.973207","Eduardo Wagner",""
"Devolvido","crepusculo","many","7984651325277","romance / ficção","2025-10-24T15:07:24.734273","KAKA",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T15:24:00.445606","Eduardo Wagnerr",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T15:30:49.837789","lucas cuba",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T15:47:54.516095","lucas cuba",""
"Devolvido","harry potter","romildo","1234567874","Aventura e ficçaão","2025-10-24T15:47:55.425354","lucas cuba",""
"Devolvido","crepusculo","many","7984651325277","romance / ficção","2025-10-24T16:07:47.086163","lucas cuba",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T16:56:33.892915","Eduardo wagne",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T17:28:16.297775","lucas cuba",""
"Devolvido","croodes","ferling","5689734174174","animação","2025-10-24T18:00:41.318472","lucas cuba",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T18:00:37.785386","lucas cuba",""
"Devolvido","harry potter","romildo","1234567874","Aventura e ficçaão","2025-10-24T18:00:39.610696","lucas cuba",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T18:14:00.210378","lucas cuba",""
"Devolvido","harry potter","romildo","1234567874","Aventura e ficçaão","2025-10-24T19:52:40.708274","lucas cuba",""
"Devolvido","ass","loi","8596478523569","aventura","2025-10-24T19:52:41.727898","lucas cuba",""
"Devolvido","narnia","css","9874563219377","terror","2025-10-24T19:52:42.734010","ingridD",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T18:35:55.414613","ingridD",""
"Devolvido","croodes","ferling","5689734174174","animação","2025-10-24T19:52:43.545177","lucas cuba",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T19:52:39.662222","lucas cuba",""
"Devolvido","crepusculo","many","7984651325277","romance / ficção","2025-10-24T19:52:38.490648","lucas cuba",""
"Devolvido","asd","fsakjnf jaklf","7895612365454","None","2025-10-24T20:06:05.434103","lucas cuba",""
