Tipo,Título,Autor,ISBN,Categoria,Data,Aluno,Multa
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-20T20:34:43.083303","None",""
"Devolvido","Narnia","romildo","7958641232244","None","2025-10-20T20:40:57.857646","None",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-23T14:19:32.378135","None",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-23T14:25:30.922340","None",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-25T18:56:25.393154","lucas cuba",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-25T19:11:03.344866","lucas cuba",""
"Devolvido","Narnia","romildo","7958641232244","None","2025-10-25T23:23:33.534585","eduardo zielinski",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-25T22:56:00.942892","eduardo wagne",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-25T23:41:28.641299","lucas cuba",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-26T00:32:06.127597","lucas cuba",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-26T00:43:33.948577","eduardo zieli",""
"Devolvido","Narnia","romildo","7958641232244","None","2025-10-26T14:36:05.851502","eduardo zieli",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-26T11:29:52.875462","SAFFS",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-26T11:33:08.117178","lucas cubaa",""
"Devolvido","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-26T15:45:52.600580","sousa",""
"Emprestado","Narnia","romildo","7958641232244","None","2025-10-26T15:43:05.255007","eduardo zieli",""
"Emprestado","Calice De fogo","CSS LEWIS","1326547896311","Aventura e ficçaão","2025-10-26T15:51:18.900911","lucas cubaa",""
